CODE_DM,Latitude,Longitude
DM-12-07-02-03,13.83718404,100.6727028
DM-12-07-04-02,13.82308876,100.6790918
DM-12-07-05-01,13.81956741,100.6808245
DM-12-07-03-02,13.82608134,100.6572935
DM-12-07-03-03,13.81970285,100.6709298
DM-12-06-01-02,13.82022376,100.6653696
DM-12-06-01-01,13.81555374,100.6527096
DM-12-06-02-01,13.80621863,100.6486058
DM-12-06-02-02,13.80008705,100.6492469
DM-12-06-03-02,13.79043873,100.6520337
DM-12-06-03-01,13.78857883,100.6507811
DM-12-04-02-03,13.78171999,100.5921829
DM-12-02-06-02,13.80024073,100.6065863
DM-12-02-04-01,13.81560844,100.5963108
DM-12-02-01-01,13.81563188,100.5962008
DM-12-02-06-01,13.80366078,100.5967453
DM-12-02-02-02,13.80367902,100.5938244
DM-12-02-01-02,13.81470724,100.591287
DM-12-01-04-02,13.82341954,100.5964074
DM-12-01-04-01,13.8283811,100.591692
DM-12-01-03-01,13.82845923,100.5918664
DM-12-01-03-02,13.8317148,100.5918798
DM-12-01-06-02,13.8313658,100.6058246
DM-12-01-01-02,13.84211405,100.593693
DM-12-01-05-03,13.84612727,100.6204051
DM-12-01-05-02,13.83087617,100.6179509
DM-12-05-08-02,13.82246107,100.6319386
DM-12-05-05-01,13.82207039,100.6315067
DM-12-05-08-01,13.81816615,100.6382927
DM-12-04-04-02,13.76069157,100.5975741
DM-06-04-06-05,13.7401461,100.5351777
DM-06-04-03-02,13.74327992,100.5483187
DM-06-04-03-01,13.74661074,100.5406418
